Order_ID,Size,Machine,Processing_Time,Finish_Time
1,100,C,30.0,30.0
2,19,A,23.05,23.05
3,35,B,37.5,37.5
4,17,A,19.450000000000003,42.5
5,48,B,15.4,52.9
6,35,B,37.5,90.4
7,43,C,56.51162790697674,86.51162790697674
8,66,C,40.303030303030305,126.81465821000705
9,70,B,55.0,145.4
10,46,A,110.80000000000001,153.3
11,52,B,15.4,160.8
12,88,C,32.72727272727273,159.54193093727977
13,49,B,15.1,175.9
14,58,B,21.4,197.3
15,11,A,11.05,164.35000000000002
16,20,A,25.0,189.35000000000002
17,80,C,35.0,194.54193093727977
18,55,B,17.5,214.8
19,62,C,42.25806451612903,236.7999954534088
20,35,B,37.5,252.3
21,20,A,25.0,214.35000000000002
22,11,A,11.05,225.40000000000003
23,6,A,6.8,232.20000000000005
24,47,B,15.9,268.2
25,41,B,23.1,291.3
26,35,A,66.25,298.45000000000005
27,39,C,61.282051282051285,298.0820467354601
28,68,C,39.41176470588235,337.4938114413425
29,99,C,30.2020202020202,367.6958316433627
30,16,A,17.8,316.25000000000006
31,46,B,16.6,307.90000000000003
32,80,C,35.0,402.6958316433627
33,82,B,117.4,425.30000000000007
34,39,A,81.05,397.30000000000007
35,54,B,16.6,441.9000000000001
36,11,A,11.05,408.3500000000001
37,65,C,40.769230769230774,443.46506241259345
38,35,A,66.25,474.6000000000001
39,35,B,37.5,479.4000000000001
40,83,C,34.096385542168676,477.5614479547621
41,42,B,21.4,500.80000000000007
42,16,A,17.8,492.4000000000001
43,85,C,33.529411764705884,511.09085971946797
44,86,C,33.25581395348837,544.3466736729563
45,37,B,31.900000000000002,532.7
46,54,B,16.6,549.3000000000001
47,5,A,6.25,498.6500000000001
48,87,C,32.98850574712644,577.3351794200827
49,11,A,11.05,509.7000000000001
50,40,B,25.0,574.3000000000001
51,53,B,15.9,590.2
52,36,A,69.8,579.5000000000001
53,8,A,8.2,587.7000000000002
54,57,B,19.9,610.1
55,53,C,47.735849056603776,625.0710284766865
56,46,B,16.6,626.7
57,88,C,32.72727272727273,657.7983012039592
58,28,A,44.2,631.9000000000002
59,31,B,51.1,677.8000000000001
60,27,A,41.45,673.3500000000003
61,44,B,18.6,696.4000000000001
62,88,C,32.72727272727273,690.525573931232
63,42,B,21.4,717.8000000000001
64,77,C,35.97402597402598,726.4995999052579
65,58,B,21.4,739.2
66,58,B,21.4,760.6
67,70,C,38.57142857142857,765.0710284766865
68,35,A,66.25,739.6000000000003
69,11,A,11.05,750.6500000000002
70,95,C,31.05263157894737,796.1236600556339
71,41,B,23.1,783.7
72,92,C,31.73913043478261,827.8627904904165
73,27,A,41.45,792.1000000000003
74,95,C,31.05263157894737,858.9154220693639
75,97,C,30.61855670103093,889.5339787703948
76,44,B,18.6,802.3000000000001
77,4,A,5.8,797.9000000000002
78,13,A,13.450000000000001,811.3500000000003
79,73,B,67.9,870.2
80,94,C,31.27659574468085,920.8105745150757
81,93,C,31.50537634408602,952.3159508591617
82,7,A,7.45,818.8000000000003
83,77,B,87.9,958.1
84,26,A,38.800000000000004,857.6000000000003
85,79,C,35.31645569620253,987.6324065553642
86,14,A,14.8,872.4000000000002
